transaction_id,date,description,amount,category,payment_method,month,day_of_week,is_fraud,income_type,credit_score,debt_to_income_ratio,savings_rate,financial_stress_level,cash_flow_status,emergency_fund_pkr,emergency_fund_months,subscription_services,loan_payment_pkr,investment_amount_pkr,savings_goal_met,financial_scenario,fraud_flag,financial_advice_score,monthly_income_pkr
TXN0101,2023-01-01,Telenor Postpaid,5119.01,Utilities,Cash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0927,2023-01-01,Carrefour Grocery,1929.65,Food & Dining,Credit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1307,2023-01-01,Burns Road,1559.44,Food & Dining,EasyPaisa,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1656,2023-01-01,Jazz Cash Saving,13863.87,Savings,JazzCash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1084,2023-01-02,Shoe Store,814.82,Shopping,JazzCash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1955,2023-01-02,Stationery,8117.56,Education,Cash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0284,2023-01-03,SSGC Gas Bill,3455.79,Utilities,JazzCash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1697,2023-01-03,SSGC Gas Bill,2773.85,Utilities,Debit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1777,2023-01-04,Al-Fatah,6650.83,Shopping,Credit Card,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0096,2023-01-05,Netflix,149.59,Entertainment,Credit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0721,2023-01-05,Dentist,697.91,Healthcare,Debit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1986,2023-01-05,Stationery,5907.29,Education,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0705,2023-01-06,Spotify,1359.07,Entertainment,EasyPaisa,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1202,2023-01-06,Cinema Ticket,534.6,Entertainment,Debit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1256,2023-01-06,Café Latte,2267.11,Food & Dining,Cash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1680,2023-01-06,Daraz Entertainment,402.03,Entertainment,JazzCash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2130,2023-01-06,Clothing Store,3304.05,Shopping,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2431,2023-01-06,Daraz,5178.6,Shopping,Cash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
